 [*] Waiting for messages. To exit press CTRL+C
{'id': '2', 'laps': '15', 'pos': '1'}
id:2, gps:(), lap:15, pos:1, speed:0.0
{'id': '7', 'laps': '15', 'pos': '2'}
id:7, gps:(), lap:15, pos:2, speed:0.0
{'id': '18', 'laps': '15', 'pos': '3'}
id:18, gps:(), lap:15, pos:3, speed:0.0
{'id': '16', 'laps': '15', 'pos': '4'}
id:16, gps:(), lap:15, pos:4, speed:0.0
{'id': '15', 'laps': '15', 'pos': '5'}
id:15, gps:(), lap:15, pos:5, speed:0.0
{'id': '12', 'laps': '14', 'pos': '6'}
id:12, gps:(), lap:14, pos:6, speed:0.0
{'id': '13', 'laps': '14', 'pos': '7'}
id:13, gps:(), lap:14, pos:7, speed:0.0
{'id': '11', 'laps': '14', 'pos': '8'}
id:11, gps:(), lap:14, pos:8, speed:0.0
{'id': '3', 'laps': '14', 'pos': '9'}
id:3, gps:(), lap:14, pos:9, speed:0.0
{'id': '10', 'laps': '14', 'pos': '10'}
id:10, gps:(), lap:14, pos:10, speed:0.0
{'id': '5', 'laps': '14', 'pos': '11'}
id:5, gps:(), lap:14, pos:11, speed:0.0
{'id': '6', 'laps': '14', 'pos': '12'}
id:6, gps:(), lap:14, pos:12, speed:0.0
{'id': '20', 'laps': '14', 'pos': '13'}
id:20, gps:(), lap:14, pos:13, speed:0.0
{'id': '1', 'laps': '14', 'pos': '14'}
id:1, gps:(), lap:14, pos:14, speed:0.0
{'id': '14', 'laps': '13', 'pos': '15'}
id:14, gps:(), lap:13, pos:15, speed:0.0
{'id': '19', 'laps': '13', 'pos': '16'}
id:19, gps:(), lap:13, pos:16, speed:0.0
{'id': '8', 'laps': '13', 'pos': '17'}
id:8, gps:(), lap:13, pos:17, speed:0.0
{'id': '17', 'laps': '13', 'pos': '18'}
id:17, gps:(), lap:13, pos:18, speed:0.0
{'id': '4', 'laps': '13', 'pos': '19'}
id:4, gps:(), lap:13, pos:19, speed:0.0
{'id': '9', 'laps': '13', 'pos': '20'}
id:9, gps:(), lap:13, pos:20, speed:0.0
id:8, gps:(37.36527, -122.063), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36552833333333, -122.06308), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36567, -122.06313), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36613, -122.06331), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.3664, -122.06345), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36664833333333, -122.06358), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36677, -122.06365), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36702, -122.06381), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36727, -122.06396), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36766, -122.06419), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36796, -122.06438), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36821, -122.06453), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36846, -122.06468), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36869, -122.06482), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36907, -122.06505), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36928, -122.06518), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.36953, -122.06533), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.3699, -122.06556), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37009, -122.06567), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37027, -122.06578), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37064, -122.066), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37107, -122.06626), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37149, -122.06652), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37166, -122.06662), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37198, -122.06681), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.3721, -122.06689), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37255, -122.06716), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37284833333333, -122.06733), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37302, -122.0674), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37339, -122.06756), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37367, -122.06765), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37393, -122.06772), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37414, -122.06776), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37442, -122.0678), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37476, -122.06781), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37528, -122.06781), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.3755, -122.06779), lap:0, pos:0, speed:134.23387145996094
id:8, gps:(37.37587, -122.06774), lap:0, pos:0, speed:134.23387145996094
